id,sex,age,race,c_days_from_compas,c_charge_degree,is_recid,is_violent_recid,decile_score,v_decile_score,v_score_text,priors_count
630,Male,22,Caucasian,1,F,0,0,3,5,Medium,0
633,Female,58,Caucasian,23,M,0,0,1,1,Low,2
639,Male,42,Other,1,F,0,0,1,1,Low,1
641,Male,29,Caucasian,0,M,1,1,6,4,Low,0
643,Male,29,African-American,614,F,0,0,10,9,High,8
645,Male,22,African-American,1,F,0,0,7,6,Medium,3
647,Male,37,Caucasian,0,F,0,0,4,3,Low,0
649,Male,27,Caucasian,22,M,0,0,1,1,Low,3
651,Male,26,African-American,0,F,0,0,4,3,Low,3
654,Male,33,Caucasian,1,F,0,0,1,2,Low,0
656,Male,29,African-American,1,F,0,0,6,3,Low,2
660,Male,36,Caucasian,1,M,0,0,1,1,Low,2
662,Female,24,Caucasian,1,F,0,0,5,5,Medium,0
664,Male,34,Caucasian,0,M,0,0,1,1,Low,0
668,Male,25,Hispanic,1,F,1,1,5,3,Low,2
673,Male,28,Hispanic,263,M,1,1,5,3,Low,2
674,Male,24,African-American,1,M,1,1,2,4,Low,1
675,Male,61,Caucasian,1,F,0,0,1,1,Low,4
678,Female,50,African-American,1,F,0,0,2,1,Low,3
679,Male,30,African-American,1,M,0,0,1,2,Low,1
680,Male,38,African-American,1,F,0,0,3,2,Low,5
681,Male,24,Caucasian,1,M,0,0,1,2,Low,0
684,Male,45,African-American,77,F,0,0,2,1,Low,16
687,Male,20,Other,1,F,1,1,8,6,Medium,0
688,Male,27,African-American,1,M,1,1,8,9,High,13
689,Female,51,African-American,122,F,0,0,8,1,Low,16
694,Male,28,Caucasian,1,F,1,1,4,3,Low,1
700,Male,26,African-American,1,F,1,1,9,6,Medium,10
701,Male,28,African-American,1,F,0,0,10,10,High,5
703,Male,63,Caucasian,3,F,0,0,1,1,Low,2
704,Male,42,African-American,0,F,0,0,1,1,Low,0
707,Male,23,African-American,1,F,1,1,6,6,Medium,6
712,Male,54,African-American,26,M,0,0,1,1,Low,2
716,Male,35,African-American,1,M,0,0,2,2,Low,1
718,Male,20,African-American,0,F,1,1,10,10,High,1
720,Male,51,Caucasian,0,F,0,0,1,1,Low,0
721,Male,24,Hispanic,1,F,0,0,10,7,Medium,0
722,Male,37,Caucasian,14,F,0,0,2,1,Low,3
724,Male,47,Caucasian,1,F,0,0,1,1,Low,3
727,Male,56,Caucasian,2,F,0,0,1,1,Low,0
730,Male,35,Asian,1,F,0,0,6,4,Low,0
731,Male,58,Hispanic,11,F,0,0,1,1,Low,1
732,Male,29,Hispanic,26,M,0,0,4,2,Low,2
737,Female,24,Caucasian,1,F,1,1,9,4,Low,6
738,Male,21,Caucasian,1,M,1,1,9,9,High,2
739,Male,26,African-American,16,M,0,0,9,6,Medium,2
743,Male,26,African-American,1,F,0,0,2,3,Low,1
745,Female,30,Caucasian,1,M,0,0,2,2,Low,0
752,Male,29,Caucasian,1,M,1,1,4,4,Low,0
753,Male,54,African-American,1,M,0,0,1,1,Low,0
754,Male,29,African-American,1,F,1,1,4,4,Low,4
756,Female,59,Caucasian,2,M,0,0,1,1,Low,0
757,Male,38,African-American,1,F,0,0,5,1,Low,0
760,Male,29,African-American,53,F,1,1,7,6,Medium,4
764,Male,52,Hispanic,1,F,0,0,3,1,Low,20
769,Male,27,Caucasian,1,F,0,0,5,4,Low,2
770,Male,51,Caucasian,1,M,0,0,1,1,Low,1
771,Male,35,Caucasian,0,F,0,0,2,3,Low,1
774,Male,26,African-American,1510,F,0,0,7,4,Low,1
775,Male,52,Caucasian,1,M,0,0,3,2,Low,4
779,Female,35,African-American,55,M,0,0,2,1,Low,12
781,Male,48,Other,0,F,0,0,5,4,Low,12
785,Female,26,African-American,1,M,0,0,2,2,Low,0
786,Female,48,Caucasian,0,M,0,0,1,1,Low,0
787,Male,30,Hispanic,1,M,0,0,4,5,Medium,7
788,Male,28,Other,1,M,0,0,1,2,Low,2
789,Male,33,African-American,0,M,0,0,3,3,Low,2
790,Female,34,African-American,1,F,0,0,4,2,Low,6
792,Male,25,Other,0,M,0,0,1,2,Low,0
796,Male,24,Caucasian,0,F,0,0,2,3,Low,0
800,Male,55,African-American,1,M,1,1,8,4,Low,0
803,Male,52,African-American,0,M,0,0,5,3,Low,4
806,Male,24,Caucasian,1,F,0,0,2,3,Low,0
807,Male,23,Caucasian,1,M,0,0,9,6,Medium,0
808,Male,27,Caucasian,1,F,1,0,4,3,Low,6
812,Male,31,African-American,1,F,0,0,2,1,Low,0
814,Male,32,Caucasian,7,F,1,1,1,2,Low,1
817,Male,37,Other,1,F,0,0,1,1,Low,1
818,Male,25,Caucasian,1,F,0,0,3,4,Low,0
820,Male,32,Hispanic,0,F,0,0,10,7,Medium,20
821,Male,35,African-American,1,F,0,0,7,2,Low,0
825,Male,24,Caucasian,23,M,1,1,10,8,High,9
831,Male,47,Caucasian,1,M,0,0,1,1,Low,1
838,Male,44,African-American,0,M,0,0,3,1,Low,1
840,Male,27,African-American,1,F,0,0,5,5,Medium,0
841,Male,23,Caucasian,1,F,0,0,2,3,Low,2
842,Female,50,Hispanic,1320,F,0,0,1,1,Low,1
843,Male,42,African-American,1,F,0,0,5,2,Low,8
844,Male,58,African-American,1,F,0,0,6,3,Low,6
847,Male,26,African-American,1,F,1,0,6,4,Low,3
848,Female,48,Other,1,F,0,0,1,1,Low,0
850,Male,21,African-American,1,F,1,1,5,6,Medium,3
851,Male,63,Caucasian,9,M,0,0,1,1,Low,1
852,Male,22,African-American,11,F,1,1,7,7,Medium,3
853,Male,50,African-American,1,M,0,0,3,2,Low,3
855,Male,38,African-American,1,F,0,0,1,1,Low,0
856,Male,41,Caucasian,7,F,0,0,6,4,Low,1
857,Male,28,African-American,1,F,1,1,8,9,High,16
858,Female,30,African-American,0,M,0,0,3,3,Low,0
859,Male,23,African-American,1,F,0,0,5,7,Medium,1
863,Male,40,Caucasian,1,F,0,0,4,1,Low,5
864,Male,24,Hispanic,0,F,0,0,8,4,Low,8
869,Male,44,Caucasian,0,M,0,0,3,6,Medium,11
870,Female,35,African-American,1,F,1,1,2,1,Low,6
871,Male,42,Caucasian,0,M,0,0,1,1,Low,0
872,Male,38,African-American,1,F,1,0,7,5,Medium,15
874,Male,26,Hispanic,1,F,0,0,6,6,Medium,4
875,Female,25,African-American,1,M,0,0,3,3,Low,0
879,Male,24,Caucasian,280,F,0,0,4,6,Medium,1
880,Male,64,Hispanic,9,F,0,0,1,1,Low,1
886,Female,46,Caucasian,1,M,0,0,1,1,Low,0
887,Male,30,African-American,1,F,1,1,6,6,Medium,5
888,Female,22,Caucasian,1,M,0,0,3,4,Low,0
889,Male,23,Caucasian,1,M,0,0,4,6,Medium,1
893,Male,31,Hispanic,2,M,0,0,1,2,Low,0
895,Male,31,Other,1,F,0,0,2,2,Low,1
898,Male,28,African-American,366,F,1,0,8,7,Medium,4
899,Male,25,African-American,1,M,1,1,3,4,Low,0
900,Female,21,Caucasian,1,F,0,0,7,5,Medium,0
901,Male,27,African-American,1,M,0,0,2,3,Low,0
905,Male,32,Hispanic,27,F,0,0,1,1,Low,1
906,Female,24,Caucasian,0,F,0,0,5,5,Medium,0
909,Male,20,African-American,1,F,0,0,3,6,Medium,1
914,Male,27,African-American,1,M,1,1,7,8,High,3
916,Male,40,African-American,1,F,0,0,2,1,Low,0
917,Male,22,African-American,1,F,1,1,10,8,High,11
918,Female,38,African-American,1,F,0,0,1,1,Low,1
921,Male,30,African-American,0,M,0,0,7,4,Low,1
922,Male,27,Caucasian,1,F,1,1,6,4,Low,6
923,Male,43,African-American,0,M,0,0,1,1,Low,1
924,Female,59,Caucasian,1,M,0,0,1,1,Low,0
925,Male,37,Caucasian,2,M,0,0,1,1,Low,2
927,Male,38,Caucasian,0,F,0,0,1,1,Low,0
932,Male,43,Hispanic,44,M,0,0,1,1,Low,1
934,Male,25,African-American,1,F,1,1,5,4,Low,4
935,Male,51,Caucasian,1,M,0,0,1,1,Low,0
937,Male,30,Hispanic,1,F,1,1,5,3,Low,6
944,Male,28,African-American,0,F,0,0,3,2,Low,10
945,Male,26,African-American,164,M,0,0,8,8,High,6
947,Female,23,Caucasian,1,F,0,0,10,9,High,3
948,Female,22,African-American,1,M,0,0,5,6,Medium,0
951,Male,31,African-American,28,M,0,0,1,1,Low,1
953,Male,29,African-American,0,M,0,0,1,1,Low,0
956,Male,24,African-American,175,F,1,1,10,9,High,4
958,Male,31,Hispanic,0,M,0,0,2,2,Low,0
962,Male,27,Caucasian,0,M,0,0,9,7,Medium,5
963,Male,25,Caucasian,1,F,0,0,5,3,Low,1
965,Male,38,African-American,1,F,0,0,1,1,Low,0
969,Male,22,Other,1,F,0,0,9,7,Medium,0
971,Female,58,African-American,14,F,1,1,2,1,Low,4
975,Male,21,African-American,1,F,0,0,3,5,Medium,0
977,Female,22,African-American,1,F,0,0,8,6,Medium,0
978,Male,30,African-American,1,F,0,0,2,2,Low,0
983,Male,22,Caucasian,41,F,1,1,4,6,Medium,2
988,Female,31,African-American,1,F,0,0,6,2,Low,10
990,Female,45,Caucasian,0,F,0,0,6,4,Low,1
991,Male,23,African-American,330,F,0,0,7,9,High,4
998,Male,27,African-American,1,F,1,1,7,3,Low,13
999,Male,38,Caucasian,1,F,1,1,1,1,Low,1
1001,Male,47,African-American,1,F,0,0,9,5,Medium,20
1002,Male,22,African-American,1,F,0,0,7,7,Medium,3
1003,Male,35,African-American,1159,M,1,1,9,3,Low,1
1005,Male,65,African-American,18,M,1,1,2,1,Low,2
1006,Male,35,African-American,1,M,0,0,4,3,Low,0
1007,Female,33,African-American,1,F,0,0,3,2,Low,0
1008,Male,53,Caucasian,10,M,0,0,1,1,Low,1
1009,Male,52,Hispanic,1,F,0,0,1,1,Low,0
1014,Male,21,African-American,1,F,0,0,5,7,Medium,0
1015,Male,37,African-American,1,F,0,0,4,2,Low,11
1016,Male,30,Other,1,M,1,1,9,8,High,4
1017,Male,33,Caucasian,32,F,0,0,5,2,Low,5
1018,Male,31,African-American,565,M,0,0,7,6,Medium,2
1020,Male,54,Other,1,F,0,0,1,1,Low,0
1022,Female,31,African-American,1,M,0,0,1,1,Low,0
1023,Female,59,Caucasian,400,F,0,0,3,1,Low,2
1024,Male,27,African-American,1,M,0,0,2,2,Low,0
1025,Male,36,African-American,1,M,1,1,7,2,Low,0
1027,Male,22,African-American,0,F,0,0,9,8,High,3
1030,Female,28,Caucasian,1,M,0,0,2,2,Low,0
1034,Male,23,African-American,0,M,1,1,10,9,High,2
1036,Male,27,African-American,1,F,0,0,4,3,Low,3
1037,Male,21,Asian,1,F,1,1,6,6,Medium,0
1041,Female,32,African-American,44,F,0,0,2,1,Low,2
1043,Male,31,African-American,1,F,0,0,7,4,Low,5
1044,Male,36,African-American,1,M,0,0,5,2,Low,4
1046,Male,36,African-American,556,M,0,0,5,5,Medium,1
1049,Male,53,Caucasian,2,F,0,0,1,1,Low,2
1054,Male,21,African-American,273,F,0,0,10,9,High,2
1055,Male,33,African-American,557,F,1,1,8,6,Medium,4
1058,Male,28,African-American,1,M,0,0,4,2,Low,2
1059,Male,24,African-American,1,M,0,0,6,4,Low,1
1060,Male,44,African-American,1,F,0,0,1,1,Low,1
1061,Male,46,African-American,1,F,0,0,1,1,Low,0
1062,Male,37,African-American,0,F,0,0,3,5,Medium,6
1065,Male,27,African-American,0,F,1,1,8,7,Medium,10
1066,Male,40,Caucasian,1,F,0,0,2,1,Low,1
1069,Male,53,Caucasian,7,F,0,0,1,1,Low,1
1070,Male,26,African-American,52,F,0,0,6,6,Medium,8
1072,Male,28,African-American,1,F,0,0,1,3,Low,0
1073,Male,23,Hispanic,0,M,0,0,4,5,Medium,0
1076,Female,46,Caucasian,1,F,0,0,8,1,Low,2
1079,Male,37,African-American,28,F,1,1,1,2,Low,5
1081,Male,44,African-American,503,M,0,0,1,1,Low,1
1084,Male,45,African-American,1,M,0,0,1,1,Low,0
